id,title,genres,averageRating,numVotes,releaseYear
tt0806147,"Extreme Movie",Comedy,3.7,11669,2008
tt0800003,"Delta Farce","Action, Adventure, Comedy",3.7,11575,2007
tt3832096,"Cabin Fever","Horror, Sci-Fi, Thriller",3.7,11412,2016
tt0120389,"Turbo: A Power Rangers Movie","Action, Adventure, Family",3.7,10062,1997
tt0118688,"Batman & Robin","Action, Sci-Fi",3.8,272048,1997
tt0450345,"The Wicker Man","Horror, Mystery, Thriller",3.8,72523,2006
tt0811138,"The Love Guru","Comedy, Romance, Sport",3.8,55504,2008
tt0460780,"In the Name of the King: A Dungeon Siege Tale","Action, Adventure, Fantasy",3.8,51639,2007
tt1714203,"Piranha 3DD","Comedy, Horror, Sci-Fi",3.8,46160,2012
tt0118661,"The Avengers","Action, Adventure, Sci-Fi",3.8,45899,1998
tt0275022,Crossroads,"Comedy, Drama, Romance",3.8,45104,2002
tt1530509,"The Human Centipede 2 (Full Sequence)",Horror,3.8,44259,2011
tt0424774,"The Adventures of Sharkboy and Lavagirl 3-D","Action, Adventure, Comedy",3.8,43452,2005
tt0076009,"Exorcist II: The Heretic",Horror,3.8,29122,1977
tt3477064,"Recep Ivedik 4",Comedy,3.8,18871,2014
tt0094824,"Caddyshack II","Comedy, Sport",3.8,16698,1988
tt21279138,"Maid in Malacañang","Biography, Drama",3.8,15745,2022
tt1104123,"The Scorpion King 2: Rise of a Warrior","Action, Adventure, Fantasy",3.8,14875,2008
tt7897330,"Deadly Illusions","Crime, Drama, Mystery",3.8,13927,2021
tt4059702,AmeriGeddon,"Action, Adventure, Drama",3.8,13396,2016
tt1552211,"The Last Days of American Crime","Action, Crime, Drama",3.8,12566,2020
tt10598156,Dhaakad,"Action, Thriller",3.8,12158,2022
tt2292959,"The Canyons","Drama, Thriller",3.8,12090,2013
tt0489598,"The Hills",Reality-TV,3.8,11616,2006
tt8328716,"Doom: Annihilation","Action, Adventure, Horror",3.8,10643,2019
tt0107612,"Mr. Nanny","Action, Comedy, Family",3.8,10355,1993
tt0082910,"Piranha II: The Spawning","Horror, Sci-Fi, Thriller",3.8,10163,1982
tt0120179,"Speed 2: Cruise Control","Action, Adventure, Crime",3.9,87197,1997
tt0220506,"Halloween: Resurrection","Horror, Thriller",3.9,50711,2002
tt0052077,"Plan 9 from Outer Space","Horror, Sci-Fi",3.9,41101,1957
tt1255919,"Holmes & Watson","Comedy, Crime, Mystery",3.9,40058,2018
tt0926129,"Prom Night",Horror,3.9,38617,2008
tt18072316,"Bade Miyan Chote Miyan","Action, Adventure, Sci-Fi",3.9,38445,2024
tt6513656,"Escape Plan 2: Hades","Action, Crime, Mystery",3.9,36053,2018
tt0365957,"You Got Served","Drama, Music",3.9,28829,2004
tt0180052,"The Adventures of Pluto Nash","Action, Comedy, Sci-Fi",3.9,27333,2002
tt1014775,"Beverly Hills Chihuahua","Adventure, Comedy, Drama",3.9,26295,2008
tt1139592,"Jeepers Creepers III",Horror,3.9,25076,2017
tt1563069,"Jersey Shore","Comedy, Reality-TV, Romance",3.9,24717,2009
tt5882970,Tubelight,"Drama, War",3.9,22053,2017
tt1656171,Dam999,"Adventure, Drama, Sci-Fi",3.9,20749,2011
tt0492389,"Furry Vengeance","Comedy, Family",3.9,18516,2010
tt7510346,"The Turning","Drama, Horror, Mystery",3.9,16561,2020
tt8066940,"Indian 2","Action, Drama, Thriller",3.9,15659,2024
tt14865406,"Deep Fear","Action, Horror, Thriller",3.9,15551,2023
tt0106761,"Double Dragon","Action, Adventure, Comedy",3.9,14096,1994
tt1712159,11-11-11,"Horror, Mystery, Thriller",3.9,12653,2011
tt1273221,"London Fields","Crime, Mystery, Thriller",3.9,12498,2018
tt0160236,"Dudley Do-Right","Comedy, Family, Romance",3.9,11507,1999
tt11771594,"American Pie Presents: Girls' Rules","Comedy, Romance",3.9,11275,2020
tt2364897,"The Disappointments Room","Drama, Horror, Thriller",3.9,10877,2016
tt1045655,"The Haunting of Molly Hartley","Drama, Horror, Thriller",3.9,10231,2008
tt6027920,"The Iron Throne","Action, Adventure, Drama",4,267912,2019
tt0938283,"The Last Airbender","Action, Adventure, Family",4,176818,2010
tt11057302,"Madame Web","Action, Adventure, Sci-Fi",4,91290,2024
tt3679040,"Kisi Ka Bhai Kisi Ki Jaan","Action, Comedy, Drama",4,41243,2023
tt0229260,"Book of Shadows: Blair Witch 2","Adventure, Fantasy, Horror",4,40652,2000
tt0479968,"One Missed Call","Horror, Mystery",4,34412,2008
tt0433412,"Material Girls","Comedy, Family, Romance",4,22859,2006
tt3062074,"Sharknado 2: The Second One","Action, Adventure, Comedy",4,20871,2014
tt10230426,"Mrs. Serial Killer","Crime, Drama, Thriller",4,19212,2020
tt2034139,"The Last Exorcism Part II","Horror, Thriller",4,17165,2013
tt8907992,"The Girl on the Train","Crime, Drama, Mystery",4,15140,2021
tt4600952,"The Guardians","Action, Adventure, Comedy",4,14748,2017
tt3899796,"Sharknado 3: Oh Hell No!","Action, Adventure, Comedy",4,14107,2015
tt14502344,They/Them,"Drama, Horror, Mystery",4,12377,2022
tt10303324,"Survive the Night","Action, Drama, Thriller",4,12081,2020
tt9625664,"Trauma Center","Action, Thriller",4,12058,2019
tt0212235,"Shriek If You Know What I Did Last Friday the Thirteenth","Comedy, Horror",4,11679,2000
tt11253090,Annaatthe,"Action, Comedy, Drama",4,10893,2021
tt8400758,"Killers Anonymous","Action, Crime, Mystery",4,10433,2019
tt13851804,Siavash,Drama,4,10323,2021
tt1190617,"An American Carol","Comedy, Fantasy",4,10160,2008
tt12262202,"The Acolyte","Action, Adventure, Drama",4.1,124694,2024
tt0312528,"The Cat in the Hat","Adventure, Comedy, Family",4.1,89435,2003
tt0111301,"Street Fighter","Action, Adventure, Comedy",4.1,76569,1994
tt0107254,"Jason Goes to Hell","Fantasy, Horror, Thriller",4.1,38068,1993
tt0329691,Torque,"Action, Comedy, Crime",4.1,29794,2004
tt1633356,"Shark Night","Action, Horror, Thriller",4.1,27444,2011
tt1679235,"Mean Girls 2","Comedy, Drama",4.1,26229,2011
tt2375779,"Wrong Turn 5: Bloodlines","Adventure, Horror",4.1,23713,2012
tt5913798,Wounds,"Drama, Horror, Mystery",4.1,22262,2019
tt5970844,"Thugs of Hindostan","Action, Adventure",4.1,22226,2018
tt1433822,"The Apparition","Horror, Thriller",4.1,20793,2012
tt0960890,"Zombie Strippers!","Comedy, Horror, Sci-Fi",4.1,19130,2008
tt3612032,"Wrong Turn 6: Last Resort","Adventure, Horror",4.1,18122,2014
tt0119718,"Mr. Magoo","Adventure, Comedy, Family",4.1,16357,1997
tt5103758,"Troy: Fall of a City","Action, Adventure, Fantasy",4.1,15707,2018
tt27785647,"Episode #1.8","Comedy, Drama, Romance",4.1,15171,2023
tt7869070,"The Fanatic","Crime, Drama, Horror",4.1,12747,2019
tt0120604,Beowulf,"Action, Adventure, Fantasy",4.1,12723,1999
tt4382872,Extraction,"Action, Thriller",4.1,12125,2015
tt8433210,"A Dark Foe","Crime, Drama, Horror",4.1,11817,2020
tt0200469,Bats,"Horror, Sci-Fi, Thriller",4.1,11648,1999
tt12772746,Diverged,"Drama, Horror, Thriller",4.1,11633,2021
tt2322441,"Fifty Shades of Grey","Drama, Romance, Thriller",4.2,341076,2015
tt0477051,Norbit,"Comedy, Romance",4.2,81262,2007
tt10280276,"Coolie No. 1","Action, Comedy, Romance",4.2,74377,2020
tt0108255,"Super Mario Bros.","Adventure, Comedy, Family",4.2,64093,1993
tt0107978,"RoboCop 3","Action, Crime, Sci-Fi",4.2,55415,1993
tt0141369,"Inspector Gadget","Action, Adventure, Comedy",4.2,51591,1999
tt0102034,"Highlander II: The Quickening","Action, Adventure, Fantasy",4.2,48636,1991
tt9660182,"Resident Evil","Action, Horror, Sci-Fi",4.2,46897,2022
tt1560985,"The Devil Inside",Horror,4.2,37861,2012
tt0357507,Boogeyman,"Drama, Horror, Mystery",4.2,32955,2005
tt0176269,"Universal Soldier: The Return","Action, Sci-Fi",4.2,31114,1999
tt3120430,Mantus,"Comedy, Drama, Thriller",4.2,28726,2014
tt10062556,"Bhuj: The Pride of India","Action, Drama, History",4.2,25030,2021
tt2309260,"The Gallows","Horror, Mystery, Thriller",4.2,21871,2015
tt0318081,"A Sound of Thunder","Action, Adventure, Horror",4.2,20752,2005
tt3704538,"V/H/S Viral","Horror, Thriller",4.2,20148,2014
tt2752758,"Devil's Due","Horror, Mystery",4.2,18008,2014
tt0120860,"From Dusk Till Dawn 2: Texas Blood Money","Crime, Horror, Thriller",4.2,17724,1999
tt3480796,Vice,"Action, Sci-Fi, Thriller",4.2,17210,2015
tt8597594,Adverse,"Crime, Thriller",4.2,16219,2020
tt6372694,"Prisoners of the Ghostland","Fantasy, Horror, Thriller",4.2,14636,2021
tt5159414,"Escape Room","Horror, Thriller",4.2,14284,2017
tt13978306,Brazen,"Crime, Drama, Mystery",4.2,14025,2022
tt0120786,"The Patriot","Action, Thriller",4.2,13489,1998
tt0354623,"Hellraiser: Hellworld",Horror,4.2,13375,2005
tt7209472,"Aiyai: Wrathful Soul","Mystery, Thriller",4.2,12894,2020
tt0410650,"Species III","Horror, Sci-Fi",4.2,11289,2004
tt2933474,Superfast!,"Action, Comedy, Crime",4.2,11106,2015
tt2178508,"Son of Sardaar","Action, Comedy, Romance",4.2,10867,2012
tt0089200,Ghoulies,"Comedy, Fantasy, Horror",4.2,10673,1984
tt13452100,"Fabulous Lives of Bollywood Wives","Documentary, Reality-TV, Romance",4.2,10482,2020
tt11576124,Rogue,"Action, Horror, Thriller",4.2,10034,2020
tt1502712,"Fantastic Four","Action, Adventure, Sci-Fi",4.3,179950,2015
tt1071875,"Ghost Rider: Spirit of Vengeance","Action, Fantasy, Thriller",4.3,128351,2011
tt1043726,"The Legend of Hercules","Action, Adventure, Fantasy",4.3,56621,2014
tt15979666,"The Archies","Comedy, Drama, Musical",4.3,52994,2023
tt1620680,"A Wrinkle in Time","Adventure, Drama, Family",4.3,48348,2018
tt3089630,"Artemis Fowl","Adventure, Family, Fantasy",4.3,30756,2020
tt4030600,"The Bye Bye Man","Drama, Fantasy, Horror",4.3,26590,2017
tt2515086,"One Direction: This Is Us","Documentary, Music",4.3,25145,2013
tt0844760,"Starship Troopers 3: Marauder","Action, Adventure, Sci-Fi",4.3,24869,2008
tt11112808,Cirkus,"Comedy, Drama",4.3,23940,2022
tt0422774,"Are We Done Yet?","Comedy, Family",4.3,22901,2007
tt0319931,"American Idol","Documentary, Game-Show, Music",4.3,22351,2002
tt1577061,"Recep Ivedik 3",Comedy,4.3,21715,2010
tt0131704,"The Adventures of Rocky & Bullwinkle","Adventure, Comedy, Family",4.3,21392,2000
tt9649436,Enaaya,"Musical, Romance",4.3,20092,2019
tt1392197,Marmaduke,"Comedy, Family",4.3,17860,2010
tt0131646,"Wing Commander","Action, Adventure, Sci-Fi",4.3,17594,1999
tt6494418,Siberia,"Crime, Drama, Romance",4.3,17470,2018
tt13634480,"The Ice Age Adventures of Buck Wild","Adventure, Animation, Comedy",4.3,17371,2022
tt4019560,Exposed,"Crime, Drama, Mystery",4.3,17160,2016
tt0997047,"College Road Trip","Adventure, Comedy, Drama",4.3,16854,2008
tt3838992,"Yoga Hosers","Action, Comedy, Horror",4.3,15799,2016
tt0961722,"Cabin Fever 2: Spring Fever",Horror,4.3,15466,2009
tt1519461,"Area 51","Horror, Mystery, Sci-Fi",4.3,15375,2015
tt0167456,Thunderbirds,"Action, Adventure, Comedy",4.3,14644,2004
tt1320304,"30 Days of Night: Dark Days","Horror, Thriller",4.3,14514,2010
tt4824308,"God's Not Dead 2",Drama,4.3,13757,2016
tt0790804,"The Comebacks","Comedy, Sport",4.3,12138,2007
tt6003368,"Diary of a Wimpy Kid: The Long Haul","Adventure, Comedy, Family",4.3,11361,2017
tt1935302,"Monsters: Dark Continent","Action, Drama, Sci-Fi",4.3,11309,2014
tt10098288,Roohi,"Comedy, Horror",4.3,11181,2021
tt13322120,"American Sicario","Action, Crime, Drama",4.3,10914,2021
tt0190524,"Left Behind: The Movie","Action, Drama, Fantasy",4.3,10733,2000
tt3803860,Puli,"Action, Adventure, Fantasy",4.3,10616,2015
tt4575328,"2036 Origin Unknown","Action, Sci-Fi, Thriller",4.3,10174,2018
tt1333125,"Movie 43",Comedy,4.4,114461,2013
tt14954666,"The Idol","Drama, Music",4.4,112629,2023
tt1467304,"The Human Centipede (First Sequence)",Horror,4.4,90019,2009
tt0370032,Ultraviolet,"Action, Sci-Fi",4.4,84621,2006
tt0338459,"Spy Kids 3: Game Over","Action, Adventure, Comedy",4.4,67617,2003
tt1592873,LOL,"Comedy, Drama, Romance",4.4,58608,2012
tt10155932,Cinderella,"Comedy, Family, Fantasy",4.4,47831,2021
tt0105477,"Stop! Or My Mom Will Shoot","Action, Comedy",4.4,45376,1992
tt0430912,"Basic Instinct 2","Drama, Mystery, Thriller",4.4,42104,2006
tt3450650,"Paul Blart: Mall Cop 2","Action, Comedy, Crime",4.4,41990,2015
tt1615918,"Alvin and the Chipmunks: Chipwrecked","Adventure, Comedy, Family",4.4,40750,2011
tt15334030,Martin,"Action, Drama, Thriller",4.4,34506,2024
tt0098105,"Police Academy 6: City Under Siege","Comedy, Crime",4.4,33687,1989
tt0107438,"Look Who's Talking Now","Comedy, Family, Romance",4.4,31353,1993
tt0775440,Cell,"Action, Adventure, Horror",4.4,31218,2016
tt3612126,"The Grudge","Fantasy, Horror",4.4,30274,2019
tt0115683,Bio-Dome,Comedy,4.4,30263,1996
tt4590256,"He's All That","Comedy, Romance",4.4,29647,2021
tt5635026,"Peter Pan & Wendy","Adventure, Family, Fantasy",4.4,28639,2023
tt2167202,Getaway,"Action, Thriller",4.4,25450,2013
tt0088206,Supergirl,"Action, Adventure, Fantasy",4.4,24457,1984
tt3595298,"Prem Ratan Dhan Payo","Action, Drama, Musical",4.4,23968,2015
tt6950476,Tejas,"Action, Drama, Thriller",4.4,23267,2023
